ssp,indiv,PitFraction,parasitism
Phoradendron perrotettii,Phoradendron perrotettii 1,72.532,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,63.165,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,69.236,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,65.863,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,65.688,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,67.289,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,66.831,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,67.194,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,75.74,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,68.127,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 1,66.023,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 2,69.431,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 2,75.308,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 2,58.238,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 2,65.216,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 2,69.067,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 2,62.99,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 2,61.039,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 2,50.906,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 2,58.774,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 2,73.067,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 3,62.876,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 3,61.644,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 3,62.496,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 3,76.181,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 3,72.752,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 3,61.497,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 3,69.142,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 3,68.09,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 3,67.665,Parasite
Phoradendron perrotettii,Phoradendron perrotettii 3,74.419,Parasite
Psittacanthus robustus,Psittacanthus robustus 1,74.504,Parasite
Psittacanthus robustus,Psittacanthus robustus 1,74.411,Parasite
Psittacanthus robustus,Psittacanthus robustus 1,51.286,Parasite
Psittacanthus robustus,Psittacanthus robustus 1,66.102,Parasite
Psittacanthus robustus,Psittacanthus robustus 1,71.389,Parasite
Psittacanthus robustus,Psittacanthus robustus 1,64.919,Parasite
Psittacanthus robustus,Psittacanthus robustus 1,67.592,Parasite
Psittacanthus robustus,Psittacanthus robustus 1,76.746,Parasite
Psittacanthus robustus,Psittacanthus robustus 1,71.243,Parasite
Psittacanthus robustus,Psittacanthus robustus 1,62.925,Parasite
Psittacanthus robustus,Psittacanthus robustus 2,79.645,Parasite
Psittacanthus robustus,Psittacanthus robustus 2,80.075,Parasite
Psittacanthus robustus,Psittacanthus robustus 2,57.87,Parasite
Psittacanthus robustus,Psittacanthus robustus 2,76.093,Parasite
Psittacanthus robustus,Psittacanthus robustus 2,81.579,Parasite
Psittacanthus robustus,Psittacanthus robustus 2,54.889,Parasite
